                                                                                                                                    
{'loss': 3.8655, 'grad_norm': 2.0756118297576904, 'learning_rate': 0.0001999964908278481, 'epoch': 0.01}
{'loss': 3.0417, 'grad_norm': 1.4934098720550537, 'learning_rate': 0.00019998596355767805, 'epoch': 0.02}
{'loss': 2.1495, 'grad_norm': 1.8096916675567627, 'learning_rate': 0.00019996841892833, 'epoch': 0.02}
{'loss': 1.4607, 'grad_norm': 2.7088966369628906, 'learning_rate': 0.00019994385817114646, 'epoch': 0.03}
{'loss': 0.7646, 'grad_norm': 1.5655335187911987, 'learning_rate': 0.00019991228300988585, 'epoch': 0.04}
{'loss': 0.3227, 'grad_norm': 1.785599708557129, 'learning_rate': 0.00019987369566060176, 'epoch': 0.05}
{'loss': 0.0884, 'grad_norm': 0.95011305809021, 'learning_rate': 0.00019982809883148722, 'epoch': 0.06}
{'loss': 0.0329, 'grad_norm': 0.28181934356689453, 'learning_rate': 0.00019977549572268468, 'epoch': 0.06}
{'loss': 0.0175, 'grad_norm': 0.10649868100881577, 'learning_rate': 0.0001997158900260614, 'epoch': 0.07}
{'loss': 0.0157, 'grad_norm': 0.11135567724704742, 'learning_rate': 0.00019964928592495045, 'epoch': 0.08}
{'loss': 0.0142, 'grad_norm': 0.06978584825992584, 'learning_rate': 0.00019957568809385694, 'epoch': 0.09}
{'loss': 0.0131, 'grad_norm': 0.07423941045999527, 'learning_rate': 0.00019949510169813003, 'epoch': 0.1}
{'loss': 0.0121, 'grad_norm': 0.09625263512134552, 'learning_rate': 0.00019940753239360047, 'epoch': 0.1}
{'loss': 0.0108, 'grad_norm': 0.10409312695264816, 'learning_rate': 0.00019931298632618356, 'epoch': 0.11}
{'loss': 0.0094, 'grad_norm': 0.127298042178154, 'learning_rate': 0.0001992114701314478, 'epoch': 0.12}
{'loss': 0.0078, 'grad_norm': 0.15289032459259033, 'learning_rate': 0.0001991029909341493, 'epoch': 0.13}
{'loss': 0.0058, 'grad_norm': 0.1747068166732788, 'learning_rate': 0.00019898755634773158, 'epoch': 0.14}
{'loss': 0.0036, 'grad_norm': 0.180106520652771, 'learning_rate': 0.0001988651744737914, 'epoch': 0.14}
{'loss': 0.0018, 'grad_norm': 0.11950880289077759, 'learning_rate': 0.00019873585390151003, 'epoch': 0.15}
{'loss': 0.0008, 'grad_norm': 0.04169824719429016, 'learning_rate': 0.0001985996037070505, 'epoch': 0.16}
{'loss': 0.0005, 'grad_norm': 0.009609034284949303, 'learning_rate': 0.00019845643345292054, 'epoch': 0.17}
{'loss': 0.0004, 'grad_norm': 0.01911391131579876, 'learning_rate': 0.00019830635318730154, 'epoch': 0.18}
{'loss': 0.0004, 'grad_norm': 0.03674014285206795, 'learning_rate': 0.0001981493734433433, 'epoch': 0.18}
{'loss': 0.0006, 'grad_norm': 0.06554704904556274, 'learning_rate': 0.0001979855052384247, 'epoch': 0.19}
{'loss': 0.0007, 'grad_norm': 0.08454420417547226, 'learning_rate': 0.00019781476007338058, 'epoch': 0.2}
{'loss': 0.0008, 'grad_norm': 0.10482659935951233, 'learning_rate': 0.00019763714993169452, 'epoch': 0.21}
{'loss': 0.0007, 'grad_norm': 0.09326690435409546, 'learning_rate': 0.00019745268727865774, 'epoch': 0.22}
{'loss': 0.0007, 'grad_norm': 0.09462568163871765, 'learning_rate': 0.00019726138506049438, 'epoch': 0.22}
{'loss': 0.0005, 'grad_norm': 0.07251928746700287, 'learning_rate': 0.00019706325670345275, 'epoch': 0.23}
{'loss': 0.0004, 'grad_norm': 0.062305208295583725, 'learning_rate': 0.0001968583161128631, 'epoch': 0.24}
{'loss': 0.0003, 'grad_norm': 0.04113878309726715, 'learning_rate': 0.00019664657767216176, 'epoch': 0.25}
{'loss': 0.0002, 'grad_norm': 0.027163146063685417, 'learning_rate': 0.00019642805624188147, 'epoch': 0.26}
{'loss': 0.0001, 'grad_norm': 0.016934966668486595, 'learning_rate': 0.0001962027671586086, 'epoch': 0.26}
{'loss': 0.0001, 'grad_norm': 0.011490858159959316, 'learning_rate': 0.00019597072623390668, 'epoch': 0.27}
{'loss': 0.0001, 'grad_norm': 0.0045749833807349205, 'learning_rate': 0.00019573194975320673, 'epoch': 0.28}
{'loss': 0.0, 'grad_norm': 0.003090781159698963, 'learning_rate': 0.00019548645447466431, 'epoch': 0.29}
{'loss': 0.0, 'grad_norm': 0.0020912261679768562, 'learning_rate': 0.00019523425762798329, 'epoch': 0.3}
{'loss': 0.0, 'grad_norm': 0.0014155963435769081, 'learning_rate': 0.00019497537691320668, 'epoch': 0.3}
{'loss': 0.0, 'grad_norm': 0.000856915139593184, 'learning_rate': 0.00019470983049947444, 'epoch': 0.31}
{'loss': 0.0, 'grad_norm': 0.0007201496046036482, 'learning_rate': 0.00019443763702374812, 'epoch': 0.32}
{'loss': 0.0, 'grad_norm': 0.0005865441635251045, 'learning_rate': 0.00019415881558950302, 'epoch': 0.33}
{'loss': 0.0, 'grad_norm': 0.0004882217035628855, 'learning_rate': 0.00019387338576538744, 'epoch': 0.34}
{'loss': 0.0, 'grad_norm': 0.0004242509021423757, 'learning_rate': 0.00019358136758384912, 'epoch': 0.34}
{'loss': 0.0, 'grad_norm': 0.0003991449484601617, 'learning_rate': 0.00019328278153972947, 'epoch': 0.35}
{'loss': 0.0, 'grad_norm': 0.0003539897734299302, 'learning_rate': 0.00019297764858882514, 'epoch': 0.36}
{'loss': 0.0, 'grad_norm': 0.00033370970049872994, 'learning_rate': 0.0001926659901464172, 'epoch': 0.37}
{'loss': 0.0, 'grad_norm': 0.0003025889745913446, 'learning_rate': 0.00019234782808576824, 'epoch': 0.38}
{'loss': 0.0, 'grad_norm': 0.00029355179867707193, 'learning_rate': 0.00019202318473658705, 'epoch': 0.38}
{'loss': 0.0, 'grad_norm': 0.00027532814419828355, 'learning_rate': 0.00019169208288346166, 'epoch': 0.39}
{'loss': 0.0, 'grad_norm': 0.00026505428832024336, 'learning_rate': 0.0001913545457642601, 'epoch': 0.4}
{'loss': 0.0, 'grad_norm': 0.0002519912086427212, 'learning_rate': 0.00019101059706849957, 'epoch': 0.41}
{'loss': 0.0, 'grad_norm': 0.00025363752502016723, 'learning_rate': 0.00019066026093568378, 'epoch': 0.42}
{'loss': 0.0, 'grad_norm': 0.00022455668658949435, 'learning_rate': 0.00019030356195360874, 'epoch': 0.42}
{'loss': 0.0, 'grad_norm': 0.00021551421377807856, 'learning_rate': 0.0001899405251566371, 'epoch': 0.43}
{'loss': 0.0, 'grad_norm': 0.00021064253814984113, 'learning_rate': 0.0001895711760239413, 'epoch': 0.44}
{'loss': 0.0, 'grad_norm': 0.0002021117979893461, 'learning_rate': 0.0001891955404777151, 'epoch': 0.45}
{'loss': 0.0, 'grad_norm': 0.00019934836018364877, 'learning_rate': 0.00018881364488135448, 'epoch': 0.46}
{'loss': 0.0, 'grad_norm': 0.00018877496768254787, 'learning_rate': 0.00018842551603760724, 'epoch': 0.46}
{'loss': 0.0, 'grad_norm': 0.00018537895812187344, 'learning_rate': 0.00018803118118669202, 'epoch': 0.47}
{'loss': 0.0, 'grad_norm': 0.00018317475041840225, 'learning_rate': 0.00018763066800438636, 'epoch': 0.48}
{'loss': 0.0, 'grad_norm': 0.00017666697385720909, 'learning_rate': 0.0001872240046000844, 'epoch': 0.49}
{'loss': 0.0, 'grad_norm': 0.00017248075164388865, 'learning_rate': 0.00018681121951482393, 'epoch': 0.5}
{'loss': 0.0, 'grad_norm': 0.000164298529853113, 'learning_rate': 0.00018639234171928353, 'epoch': 0.5}
{'loss': 0.0, 'grad_norm': 0.00016258146206382662, 'learning_rate': 0.0001859674006117491, 'epoch': 0.51}
{'loss': 0.0, 'grad_norm': 0.0001579235540702939, 'learning_rate': 0.00018553642601605068, 'epoch': 0.52}
{'loss': 0.0, 'grad_norm': 0.0001539869699627161, 'learning_rate': 0.00018509944817946922, 'epoch': 0.53}
{'loss': 0.0, 'grad_norm': 0.00015275513578671962, 'learning_rate': 0.0001846564977706138, 'epoch': 0.54}
{'loss': 0.0, 'grad_norm': 0.0001449915289413184, 'learning_rate': 0.00018420760587726923, 'epoch': 0.54}
{'loss': 0.0, 'grad_norm': 0.0001464377564843744, 'learning_rate': 0.0001837528040042142, 'epoch': 0.55}
{'loss': 0.0, 'grad_norm': 0.0001436558668501675, 'learning_rate': 0.00018329212407100994, 'epoch': 0.56}
{'loss': 0.0, 'grad_norm': 0.00014176520926412195, 'learning_rate': 0.00018282559840976042, 'epoch': 0.57}
{'loss': 0.0, 'grad_norm': 0.0001393801940139383, 'learning_rate': 0.00018235325976284275, 'epoch': 0.58}
{'loss': 0.0, 'grad_norm': 0.00013811113603878766, 'learning_rate': 0.00018187514128060946, 'epoch': 0.58}
{'loss': 0.0, 'grad_norm': 0.0001350247475784272, 'learning_rate': 0.00018139127651906184, 'epoch': 0.59}
{'loss': 0.0, 'grad_norm': 0.0001297112030442804, 'learning_rate': 0.00018090169943749476, 'epoch': 0.6}
{'loss': 0.0, 'grad_norm': 0.0001290861255256459, 'learning_rate': 0.00018040644439611348, 'epoch': 0.61}
{'loss': 0.0, 'grad_norm': 0.00012726207205560058, 'learning_rate': 0.00017990554615362198, 'epoch': 0.62}
{'loss': 0.0, 'grad_norm': 0.00012709292059298605, 'learning_rate': 0.00017939903986478355, 'epoch': 0.62}
{'loss': 0.0, 'grad_norm': 0.0001227940374519676, 'learning_rate': 0.00017888696107795342, 'epoch': 0.63}
{'loss': 0.0, 'grad_norm': 0.00012153994612162933, 'learning_rate': 0.000178369345732584, 'epoch': 0.64}
{'loss': 0.0, 'grad_norm': 0.00011990986240562052, 'learning_rate': 0.00017784623015670238, 'epoch': 0.65}
{'loss': 0.0, 'grad_norm': 0.0001186612862511538, 'learning_rate': 0.00017731765106436073, 'epoch': 0.66}
{'loss': 0.0, 'grad_norm': 0.00011677802103804424, 'learning_rate': 0.00017678364555305978, 'epoch': 0.66}
{'loss': 0.0, 'grad_norm': 0.00011472350888652727, 'learning_rate': 0.0001762442511011448, 'epoch': 0.67}
{'loss': 0.0, 'grad_norm': 0.00011555499077076092, 'learning_rate': 0.00017569950556517566, 'epoch': 0.68}
